GASSID,nComps,Qlty,Problems,Notes
GASS114044,2,B,"C,S",
GASS114073,2,B,"C,S,I","Large galaxy, Diffuse spiral arms"
GASS114047,1,G,C,
GASS38458,1,G,"C,B",Bright nearby object
GASS25575,2,B,"C,D",Edge on
GASS7121,2,O,"C,B",Bright nearby object
GASS25572,2,O,"C,S",Embedded object
GASS30675,3,B,C,Diffuse spiral arms
GASS114055,3,B,C,Diffuse spiral arms
GASS114115,1,G,"S,D",Clumpy
GASS114122,2,O,"C,B","Clumpy, Bright nearby object"
GASS9287,3,B,"C,S,B","Bright nearby object, Embedded object"
GASS114057,2,B,C,
GASS30746,2,O,"C,S",Embedded object
GASS114110,?,B,"B,D","Interacting, Bright nearby object"
GASS114033,3,B,"C,S",Diffuse spiral arms
GASS114031,3,B,"C,S",Diffuse spiral arms
GASS114082,3,B,"C,S",Diffuse spiral arms
GASS114027,2,O,"C,S,D",Edge on
GASS7286,2,B,"C,S",
GASS114046,2,O,C,
GASS9384,2,O,"C,S",
GASS114058,3,B,"C,S",
GASS38462,2,B,"C,S",
GASS38472,1,O,C,
GASS114095,2,B,C,
GASS9343,1,G,"C,S",
GASS7310,1,O,"C,S",
GASS114054,1,G,S,
GASS114127,1,G,"C,D",Edge on
GASS38591,2,O,C,
GASS41323,2,O,"C,S",Embedded object
GASS45254,2,B,"C,D",Edge on
GASS7405,2,B,"C,S",Bright nearby object
GASS114091,2,O,C,
GASS30811,2,O,"C,S",
GASS45613,2,B,C,
GASS38583,2,B,"C,S,B,I","Large galaxy, Frame, Diffuse spiral arms"
GASS9507,1,O,"C,S",
GASS114121,2,O,"C,S,D",Edge on
GASS9483,3,B,"C,S",Diffuse spiral arms
GASS114085,2,O,C,
GASS114042,2,O,"C,D",Clumpy
GASS9514,2,O,C,
GASS114041,3,B,"C,D","Bright nearby object, Clumpy"
GASS114083,2,B,C,Bright nearby object
GASS114125,2,B,C,
GASS9463,1,O,"C,S,B,D","Interacting, Group"
GASS114025,1,G,C,
GASS114096,2,B,C,
GASS114077,1,O,"C,S,B","Bright nearby object, Canonical"
GASS114117,1,O,"C,S","Diffuse spiral arms, Embedded object"
GASS114056,2,O,"C,S",
GASS114076,1,O,C,
GASS7457,1,G,"C,S",
GASS114038,2,B,C,
GASS7493,2,B,C,
GASS114065,3,O,"C,S",
GASS114067,2,B,"C,S",Large galaxy
GASS114136,3,B,"C,S,D",Clumpy
GASS9551,2,B,"C,S",Embedded object
GASS114012,1,G,"C,S",Clumpy
GASS45940,1,G,S,Embedded object
GASS114036,3,B,"C,S",Diffuse spiral arms
GASS28703,2,B,C,
GASS114005,2,B,C,Embedded object
GASS114129,1,G,D,
GASS114142,1,G,S,Diffuse spiral arms
GASS114008,2,B,"C,S,B",Bright nearby object
GASS114074,2,B,C,
GASS9619,2,B,C,Large galaxy
GASS114037,2,O,"C,S",
GASS114144,2,B,"C,S,D,B",Edge on
GASS114010,2,O,C,
GASS114090,2,O,"C,S",Diffuse spiral arms
GASS114000,2,B,C,
GASS114048,2,B,C,
GASS114024,2,O,"C,S","Large galaxy, Diffuse spiral arms"
GASS9615,1,G,-,
GASS7509,2,B,"C,S",
GASS28875,2,B,C,
GASS9607,2,B,C,
GASS9604,1,O,C,
GASS38198,1,O,C,
GASS41482,2,B,"C,D",Edge on
GASS7520,2,B,C,
GASS9814,2,B,C,Diffuse spiral arms
GASS9601,2,B,C,
GASS28810,2,B,"C,S,D",Edge on
GASS9585,2,O,"C,S",Diffuse spiral arms
GASS9776,2,B,"C,S",Group
GASS9572,2,B,"C,D",Edge on
GASS46068,2,O,"C,S",Large galaxy
GASS31095,2,B,C,
GASS29090,1,O,"C,S",Embedded object
GASS7581,2,O,"C,B",
GASS9748,2,O,"C,S,B","Large galaxy, Diffuse spiral arms"
GASS9917,2,O,C,
GASS9702,2,O,C,
GASS9704,2,B,"C,S,D",Edge on
GASS41703,2,B,"C,S",Embedded object
GASS9938,2,B,C,
GASS9695,1,G,S,
GASS9891,3,B,C,
GASS31131,2,B,C,
GASS9942,1,O,"C,S,B","Group, Large galaxy"
GASS31478,2,B,C,
GASS9948,2,O,"C,S","Large galaxy, Diffuse spiral arms"
GASS29225,2,B,"C,S",
GASS9863,2,O,C,
GASS38751,2,B,"C,D",Edge on
GASS38758,2,B,C,
GASS38752,3,B,"C,S",
GASS29420,2,O,"C,S",Embedded object
GASS38748,1,G,C,
GASS29377,2,B,"C,S",Diffuse spiral arms
GASS38717,3,B,C,
GASS38716,1,G,"C,S",Embedded object
GASS38718,2,O,C,
GASS10032,2,B,"C,S",Embedded object
GASS38729,1,O,"C,S,D",Ring
GASS38703,1,G,-,
GASS38732,2,O,C,
GASS38728,2,O,C,
GASS10031,2,B,C,
GASS38721,2,B,"C,S","Diffuse spiral arms, Embedded object"
GASS38706,2,B,"C,D,B",Interacting
GASS10019,2,B,"C,B",Bright nearby object
GASS10010,2,B,"C,S",Diffuse spiral arms
GASS10040,2,B,"C,S",
GASS10012,1,G,C,
GASS42233,2,B,C,
GASS10005,2,B,C,
GASS42191,2,O,C,
GASS10058,1,O,"C,S,I",Large galaxy
GASS38935,2,O,"C,S",Large galaxy
GASS38923,2,B,"C,S",
GASS10132,2,B,"C,D",Edge on
GASS10145,2,O,"C,S",
GASS41793,2,B,"C,S,D",Embedded object
GASS10150,2,B,C,
GASS38909,3,O,"C,S",Large galaxy
GASS41743,2,B,C,
GASS38964,2,B,"C,S,B,D","Large galaxy, Edge on, Group"
GASS39014,2,B,"C,S",Embedded object
GASS41869,2,O,"C,S,D","Clumpy, Group"
GASS39119,2,O,"C,D",Edge on
GASS39120,1,G,C,
GASS41924,2,O,"C,S,B,I","Large galaxy, Diffuse spiral arms"
GASS38974,2,G,"C,S,I","Frame, Large galaxy, Group"
GASS10218,2,B,"C,S",
GASS10211,2,B,"C,S",Embedded object
GASS7813,2,B,C,
GASS10297,1,G,B,Bright nearby object
GASS10292,2,O,C,
GASS39211,2,B,C,Large galaxy
GASS42025,2,B,C,
GASS42020,1,O,"C,S",
GASS42017,2,B,C,
GASS41969,2,B,"C,S","Diffuse spiral arms, Large galaxy"
GASS42140,2,B,C,
GASS10367,3,B,C,
GASS42013,1,O,"C,S",
GASS42011,2,O,"C,S",
GASS42141,3,B,"C,S",
GASS10358,2,O,"C,S",Embedded object
GASS10404,2,O,"C,S",
GASS42156,2,O,C,
GASS41974,3,O,C,
GASS39346,3,B,"C,S,B,I","Large galaxy, Bright nearby object"
GASS42174,2,O,C,
GASS10447,2,O,C,
GASS39469,2,B,"C,B","Large galaxy, Bright nearby object"
GASS46564,3,O,"C,S",
GASS39311,3,O,"C,S",
GASS39465,1,G,-,
GASS39448,1,G,C,
GASS25057,2,B,"C,S","Group, Embedded object"
GASS25115,2,O,"C,S",Embedded object
GASS46586,2,O,"C,S",Embedded object
GASS39407,2,B,C,
GASS39532,1,O,C,
GASS39374,3,B,"C,S,I","Large galaxy, Embedded object, Diffuse spiral arms"
GASS39605,2,O,C,
GASS39607,2,O,C,
GASS39595,2,O,C,
GASS39606,3,B,"C,S",Embedded object
GASS39567,2,O,"C,S",
GASS39600,2,O,"C,S",
GASS46678,1,G,"C,S",Large galaxy
GASS28348,2,O,C,
GASS28365,2,B,"C,S",Large galaxy
GASS42287,2,B,"C,S",
GASS26958,2,B,"C,S",Large galaxy
GASS25682,1,O,"C,B",Bright nearby object
GASS47221,3,B,"C,S",Embedded object
GASS42402,2,B,"C,S","Embedded object, Diffuse spiral arms"
GASS25721,1,G,C,
GASS21023,2,O,"C,B",Bright nearby object
GASS31156,3,B,"C,S",
GASS10731,2,O,"C,S",Embedded object
GASS47405,2,B,"C,S",Diffuse spiral arms
GASS10817,3,O,"C,S",
GASS10827,1,O,C,
GASS10831,2,B,C,
GASS10856,2,B,"C,S,B","Diffuse spiral arms, Bright nearby object"
GASS10813,2,O,C,
GASS10836,2,B,C,
GASS10850,2,O,C,
GASS10863,2,O,"C,S",Embedded object
GASS10841,2,B,C,
GASS10885,2,B,C,
GASS10889,1,B,"C,S",Embedded object
GASS10890,2,B,"C,S",Embedded object
GASS10844,2,O,"C,S",Embedded object
GASS10872,3,O,"C,S",Embedded object
GASS10896,2,B,C,
GASS10918,2,O,C,
GASS10884,2,B,"C,D",Edge on
GASS10942,2,O,C,
GASS10943,3,B,C,
GASS10944,1,O,C,
GASS10950,2,B,C,
GASS10949,2,B,"C,D",Edge on
GASS10948,2,O,C,
GASS10953,2,O,C,
GASS10952,2,O,"C,D",Edge on
GASS10879,1,O,C,
GASS10979,2,O,C,Embedded object
GASS122005,1,O,"C,S","Embedded object, Diffuse spiral arms"
GASS10990,1,O,S,Embedded object
GASS10985,2,O,"C,D,B","Edge on, Bright nearby object"
GASS11016,1,O,C,
GASS122001,2,O,"C,S",Embedded object
GASS11013,2,B,"C,B",Bright nearby object
GASS11015,1,G,"C,S",Group
GASS11003,2,B,C,
GASS11019,2,B,C,
GASS122000,2,B,"C,S,D","Interacting, Embedded object"
GASS122002,2,B,C,
GASS11041,1,G,C,
GASS11055,2,B,C,Ring
GASS122006,2,O,"C,S,D","Interacting, Clumpy"
GASS122004,1,G,"C,S",
GASS11086,2,B,"C,D",Edge on
GASS11087,1,O,"C,D",Edge on
GASS11080,?,B,D,"Clumpy, Interacting"
GASS11071,2,B,C,
GASS11126,2,O,C,
GASS11132,1,O,C,
GASS11231,2,B,"C,S",
GASS11120,2,B,C,
GASS11223,2,B,C,
GASS11250,2,O,C,
GASS11249,1,O,"C,B",Bright nearby object
GASS11257,1,O,C,
GASS11268,3,B,C,
GASS11267,2,B,C,
GASS11314,2,B,C,
GASS11312,2,O,C,
GASS11311,2,B,C,Group
GASS11340,2,O,"C,D",Clumpy
GASS11193,2,B,C,
GASS11298,2,O,"C,D",Edge on
GASS11297,2,O,C,
GASS11295,2,B,"C,D",Edge on
GASS11192,2,B,"C,S,D","Edge on, Interacting"
GASS11303,1,G,"C,D",Edge on
GASS123006,3,B,C,
GASS11285,2,B,"C,D",Edge on
GASS11280,2,O,"C,S",Embedded object
GASS11284,2,O,"C,D",Edge on
GASS11292,2,B,C,
GASS11291,2,B,C,
GASS11347,1,G,S,Embedded object
GASS123010,2,B,"C,D,B","Offset bulge, Bright nearby object"
GASS11462,1,G,"C,S",
GASS11270,2,O,C,
GASS11349,2,B,C,
GASS123003,2,O,C,
GASS11437,2,B,C,
GASS11410,2,O,C,
GASS11513,3,B,"C,S",Embedded object
GASS11435,2,B,"C,B",Bright nearby object
GASS11514,1,G,C,
GASS11434,2,B,C,
GASS11494,2,B,C,
GASS11395,1,G,C,
GASS11509,2,O,C,
GASS11524,2,B,"C,S",Embedded object
GASS11397,1,O,"C,B",Bright nearby object
GASS123011,2,B,"C,D",Edge on
GASS11585,1,G,C.S,
GASS11544,2,B,C,
GASS11383,2,B,"C,S",
GASS11386,1,O,C,
GASS11366,2,O,C,
GASS11357,2,B,C,
GASS123001,2,O,"C,S,I","Large galaxy, Diffuse spiral arms"
GASS11676,1,G,"C,D",Edge on
GASS11669,3,B,C,Embedded object
GASS11582,3,O,"C,S",Embedded object
GASS11685,2,B,"C,S",Diffuse spiral arms
GASS11687,2,O,C,
GASS11571,2,B,C,
GASS11573,2,B,C,
GASS11568,1,G,"C,S","Embedded object, Group"
GASS11567,1,O,"C,B",Bright nearby object
GASS11697,2,O,"C,D",Edge on
GASS123005,3,B,"C,S,B,I","Large galaxy, Embedded object, Bright nearby object"
GASS11727,2,O,C,
GASS123007,3,B,C,
GASS11763,2,B,C,
GASS123008,1,G,"C,S",Embedded object
GASS11754,2,O,C,
GASS11791,1,G,"C,S,B",Bright nearby object
GASS11783,2,B,C,
GASS11808,2,B,C,
GASS11815,2,B,"C,S",Embedded object
GASS11845,2,B,"C,S",Embedded object
GASS11824,2,B,C,
GASS124004,2,B,C,
GASS109010,2,B,C,
GASS114078,2,B,"C,S",Diffuse spiral arms
GASS23445,2,O,C,Embedded object
GASS23213,3,O,C,
GASS23039,2,O,C,
GASS114053,2,B,"C,D",Clumpy
GASS114075,2,O,"C,S",Embedded object
GASS110056,1,O,C,
GASS20144,2,B,C,
GASS22436,?,B,"S,D","Interacting, Diffuse spiral arms"
GASS20133,3,B,C,
GASS109108,2,B,C,
GASS20445,2,O,"C,D",Edge on
GASS29205,2,O,"C,D",Edge on
GASS41699,3,B,C,
GASS39270,3,B,C,Diffuse spiral arms
GASS26017,2,B,"C,S",Embedded object
GASS40686,2,O,C,
GASS23245,2,B,I,No data
GASS101021,1,G,C,
GASS29371,2,O,C,
GASS42015,2,B,C,"Group, Diffuse spiral arms"
GASS41723,2,O,C,Embedded object
GASS42167,2,O,C,
GASS41863,?,B,"B,D","Interacting, Bright nearby object, Canonical"
GASS101037,1,O,C,Embedded object
GASS41783,2,O,"C,D","Clumpy, ?"
GASS124006,2,O,C,
GASS109083,1,O,"C,D",Edge on
GASS23203,1,G,C,Embedded object
GASS23029,2,O,"C,B",Bright nearby object
GASS41904,?,B,"C,D",Interacting
GASS41303,1,O,C,
GASS20026,1,O,C,
GASS38529,2,B,C,Embedded object
GASS101025,2,B,"C,S","Embedded object, Canonical"
GASS38538,1,O,C,
GASS41970,2,B,"C,D",Edge on
GASS114039,3,O,C,
GASS109132,1,O,C,
GASS41444,1,G,C,
GASS38546,3,B,C,
GASS30847,2,O,C,
GASS20165,2,O,C,
GASS20149,2,O,"C,B","Bright nearby object, Embedded object"
GASS42084,2,B,"C,S",Embedded object
GASS41621,2,O,C,
GASS20448,1,G,C,Bright nearby object
GASS109035,3,O,C,
GASS109005,2,O,C,Embedded object
GASS20371,1,G,C,Embedded object
GASS109070,2,O,"C,D,B","Edge on, Bright nearby object"
GASS114113,2,B,"C,D",Offset bulge
GASS23088,2,B,C,Embedded object
GASS114123,3,B,C,Large galaxy
GASS110042,2,B,C,Embedded object
GASS30854,1,G,D,Edge on
GASS23227,2,O,"C,D",Edge on
GASS113150,2,B,"C.S,D","Embedded object, Edge on, Large galaxy"
GASS20790,?,B,D,Interacting
GASS23026,2,B,"C,D",Edge on
GASS39082,2,O,"C,S",Embedded object
GASS20376,2,B,C,
GASS41718,2,B,C,Embedded object
GASS23114,2,B,C,
GASS38809,2,B,"B,I","No data, Bright nearby object, Interacting"
