GASSID,nComps,Qlty,Problems,Notes
GASS108097,2,B,"C,D",Offset bulge
GASS108055,2,B,C,
GASS108053,2,B,C,
GASS108006,1,G,-,
GASS108024,1,G,B,Bright nearby object
GASS108061,2,B,"C,S",
GASS108064,3,B,"C,S,D",
GASS108101,2,B,"C,D",Edge on
GASS51899,2,B,"C,S",
GASS108026,3,B,"C,S,D,B","Large galaxy, Diffuse spiral arms, Embedded object"
GASS108016,2,B,"C,S,D,B","Large galaxy, Diffuse spiral arms, Embedded object"
GASS108088,1,O,S,Clumpy
GASS108093,3,B,"C,S",
GASS16479,2,B,C,
GASS52045,2,O,"C,S",Interacting
GASS19918,3,B,"C,S",
GASS32308,2,B,C,
GASS108140,1,G,-,Edge on
GASS108148,1,B,"C,S,D,B","Large galaxy, Diffuse spiral arms, Embedded object"
GASS108094,3,B,"C,S,D,B","Diffuse spiral arms, Interacting"
GASS108133,2,B,"C,S",Embedded object
GASS56486,2,B,C,
GASS56509,2,B,"C,S",
GASS8096,2,B,"C,S,D",Diffuse spiral arms
GASS19989,2,O,"C,S",
GASS108021,2,B,C,
GASS108051,2,O,"C,S",
GASS108017,2,B,C,
GASS52297,3,O,C,
GASS108054,?,B,"C,S,D",Diffuse spiral arms
GASS19949,3,B,C,
GASS16695,2,O,"C,D",Edge on
GASS25752,3,B,"C,S",
GASS109129,1,O,D,Edge on
GASS109023,1,O,"C,S",Embedded object
GASS109123,2,B,"C,S,D",Interacting
GASS56662,1,O,D,"Edge on, Clumpy"
GASS56612,2,B,"C,S,D",Embedded object
GASS56650,2,B,C,
GASS109038,2,B,"C,S,D",Embedded object
GASS109101,2,B,C,
GASS56632,2,B,C,
GASS16655,2,B,C,
GASS109014,2,B,C,
GASS109018,2,O,"C,S",
GASS109009,2,B,"C,D,B",Bright nearby object
GASS109060,1,G,-,
GASS109139,2,B,"C,S,D","Diffuse spiral arms, Embedded object"
GASS109021,1,O,C,
GASS16756,1,O,C,Group
GASS16815,2,B,C,
GASS25851,2,B,C,
GASS109036,2,B,"C,S,B","Nearby bright object, Embedded object"
GASS109039,3,B,"C,D",Interacting
GASS14712,2,B,C,
GASS19672,2,B,C,Interacting
GASS25844,1,O,C,
GASS109057,2,B,C,
GASS109099,1,O,S,
GASS109116,3,B,C,
GASS57017,1,O,"C,S",Edge on
GASS109020,2,B,C,
GASS109045,2,B,C,
GASS109031,2,O,"C,S",
GASS109089,3,B,"C,S,B,D,I","Large galaxy, Bright nearby object, Embedded object"
GASS109064,2,B,"C,B",Bright nearby object
GASS32937,2,B,"C,B",Group
GASS109028,3,B,C,Interacting
GASS109082,2,B,C,Edge on
GASS32907,2,B,C,
GASS109118,2,O,"C,B",Bright nearby object
GASS53269,2,B,"C,S","Edge on, Interacting"
GASS16841,2,B,"C,S",Diffuse spiral arms
GASS109127,1,G,S,
GASS109126,1,B,D,Clumpy
GASS33214,2,O,"C,S",
GASS109103,2,O,C,
GASS55745,3,B,"C,S,D","Large galaxy, Diffuse spiral arms"
GASS109097,2,B,"C,S,B",Nearby bright object
GASS8347,2,O,C,
GASS14784,3,O,"C,S",
GASS55711,2,B,"C,S",Diffuse spiral arms
GASS8349,2,B,"C,D",Edge on
GASS109072,2,B,C,
GASS109073,3,B,"C,S,D",Bright nearby object
GASS109122,3,B,C,
GASS109100,2,B,C,
GASS109006,1,O,D,Embedded object
GASS109065,2,B,"C,S,D","Offset bulge, Interacting"
GASS109075,2,B,C,
GASS33469,2,B,"C,S",
GASS18702,2,B,"C,S",Embedded object
GASS109077,3,B,C,
GASS109120,1,O,"C,S",
GASS22822,2,O,"C,D",Interacting
GASS109058,2,B,"C,S",
GASS20305,2,O,"C,S",Embedded object
GASS18673,2,B,C,
GASS18686,2,B,C,
GASS18681,2,B,C,
GASS26040,2,B,C,
